Timestamp,Texte,Valence,Arousal
2026-05-20 16:02:26,"Là, je vois un là, je m'en s'en peine.",-0.61,0.206
2026-05-20 16:02:31,"J'en sens du froid aussi, j'ai de l'empathisme, mes ases.",-0.17,0.262
2026-05-20 16:02:36,Uhh...,0.574,-0.871
2026-05-20 16:02:42,"Un sentiment un peu de mal à l'aise, de mal à l'aise.",-0.366,0.316
2026-05-20 16:03:12,"Une image de canard, c'est un peu million.",0.152,0.011
2026-05-20 16:03:14,Merci.,0.406,-0.224
2026-05-20 16:03:19,C'est... J'as... C'est...,-0.438,-0.971
2026-05-20 16:03:27,"C'est une image qui est réconfortante, c'est un d'emiles sans danger.",-0.164,0.216
2026-05-20 16:03:35,4 pairs de bot.,0.157,-0.66
2026-05-20 16:03:41,C'est... C'est rigolo parce que c'est symétrique.,-0.478,-0.723
2026-05-20 16:03:45,Il y a un sentiment à peu.,0.394,-0.04
2026-05-20 16:03:50,"Si un bétre enche, on voit vraiment des choses sur ça.",-0.012,-0.087
2026-05-20 16:13:02,Donc un accident camion.,0.308,-0.534
2026-05-20 16:13:06,"Euh... Ben là, je ressens un...",-0.491,-0.652
2026-05-20 16:13:14,"Je vousappelle Glueur c'est que la gouvernance, la personne et Maisa âgé des Angels dans tous les secteurs des électriRRF !",0.571,0.682
2026-05-20 16:13:16,"Il est l'air de faire voir, ou que je ressens.",0.278,-0.256
2026-05-20 16:13:18,Je suis... je suis...,-0.397,-0.559
2026-05-20 16:13:22,Je suis venée par ce que je vois.,-0.219,-0.016
2026-05-20 16:13:31,De petits élérants taux.,-0.686,0.294
2026-05-20 16:13:44,"Ils ont l'air de être en bonne santé, donc ça veut dire que c'est bien au coeur.",-0.238,0.007
2026-05-20 16:13:49,Je suis en train de firmer un,0.506,-0.21
2026-05-20 16:13:50,"Et n'adrugie à ta cheveux, c'est à...",-0.815,-0.489
2026-05-20 16:14:02,La pause est question sur ce qu'il met.,-0.264,0.003
2026-05-20 16:14:12,Des toilettes vraiment salles.,0.089,-0.041
2026-05-20 16:14:17,Une identité très offshore et très Saud<|hi|>,0.263,-1.0
2026-05-20 16:14:23,… dining au nyt au apresent …,0.455,0.126
2026-05-20 16:14:30,Je vous laisse de mes timides.,-0.125,0.044
2026-05-20 16:14:41,"Bon, on va faire un soleil de champs.",0.705,-0.539
2026-05-20 16:14:44,C'est très joli.,0.915,-0.211
2026-05-20 16:14:48,"Il y a quelques relets, nous chonservais.",0.01,-0.111
2026-05-20 16:14:54,Je vais bien marcher là-bas.,-0.171,-0.144
2026-05-20 16:15:09,Le soleil d'air en nuage.,0.967,-0.245
2026-05-20 16:15:14,C'est très joli d'arrêt dans le même hôle.,0.271,-0.101
2026-05-20 16:15:32,"C'est bon, c'est un peu...",-0.046,-0.344
2026-05-20 16:15:43,Un petit peu.,-0.006,-0.146
2026-05-20 16:15:46,C'est un...,0.131,-0.216
2026-05-20 16:15:52,"Alors, moi, j'ai une main de merde, moi, c'est un peu...",-0.422,-0.9
2026-05-20 16:15:57,"Ça me rejouis pas, mais j'aime quand même bien la merde. C'est...",0.065,-0.842
2026-05-20 16:16:08,Cet au lobby ! Je vous嚇erez vous de vous pour ubuzzer ! Bonvenue à ce時間 ! Le premier Marie Rousseau !! J'aurais sur le bleu pour nos sapiens !,0.986,0.715
