timestamp_start,timestamp_end,dossier_frames,chemin_audio,v_vision,a_vision,v_audio,a_audio,texte_transcrit,v_texte,a_texte,v_fusion,a_fusion,target_v,target_a
0.0,2.0,donnees_brutes/v1.2/marion/frames_0.0_2.0,donnees_brutes/v1.2/marion/audio_0.0_2.0.wav,-0.126,0.3301,-0.1397,-0.1621,"Ok j'aime la vie, il fait beau, j'adore rire, j'adore manger, j'adore les blagues, je me sens bien avec mes amis, j'adore d'yvres",0.7505,0.6004,,,,
2.0,4.0,donnees_brutes/v1.2/marion/frames_2.0_4.0,donnees_brutes/v1.2/marion/audio_2.0_4.0.wav,0.7034,0.4801,0.1809,-0.1857,"Ok j'aime la vie, il fait beau, j'adore rire, j'adore manger, j'adore les blagues, je me sens bien avec mes amis, j'adore d'yvres",0.7505,0.6004,,,,
4.0,6.0,donnees_brutes/v1.2/marion/frames_4.0_6.0,donnees_brutes/v1.2/marion/audio_4.0_6.0.wav,0.8611,0.5004,-0.0621,0.1529,"Ok j'aime la vie, il fait beau, j'adore rire, j'adore manger, j'adore les blagues, je me sens bien avec mes amis, j'adore d'yvres",0.7505,0.6004,,,,
6.0,8.0,donnees_brutes/v1.2/marion/frames_6.0_8.0,donnees_brutes/v1.2/marion/audio_6.0_8.0.wav,0.8339,0.4991,-0.3017,0.1615,"Ok j'aime la vie, il fait beau, j'adore rire, j'adore manger, j'adore les blagues, je me sens bien avec mes amis, j'adore d'yvres",0.7505,0.6004,,,,
8.0,10.0,donnees_brutes/v1.2/marion/frames_8.0_10.0,donnees_brutes/v1.2/marion/audio_8.0_10.0.wav,0.7434,0.4442,-0.271,0.0848,"Ok j'aime la vie, il fait beau, j'adore rire, j'adore manger, j'adore les blagues, je me sens bien avec mes amis, j'adore d'yvres | Je pense aux animaux mort, je suis triste, tout va mal dans ma vie, personne ne m'aime, je suis en déchil humanité, je suis triste",0.3997,0.3197,,,,
10.0,12.0,donnees_brutes/v1.2/marion/frames_10.0_12.0,donnees_brutes/v1.2/marion/audio_10.0_12.0.wav,-0.0397,0.334,-0.0846,-0.4427,"Je pense aux animaux mort, je suis triste, tout va mal dans ma vie, personne ne m'aime, je suis en déchil humanité, je suis triste",0.0489,0.0391,,,,
12.0,14.0,donnees_brutes/v1.2/marion/frames_12.0_14.0,donnees_brutes/v1.2/marion/audio_12.0_14.0.wav,-0.0291,0.3799,-0.2389,-0.3744,"Je pense aux animaux mort, je suis triste, tout va mal dans ma vie, personne ne m'aime, je suis en déchil humanité, je suis triste",0.0489,0.0391,,,,
14.0,16.0,donnees_brutes/v1.2/marion/frames_14.0_16.0,donnees_brutes/v1.2/marion/audio_14.0_16.0.wav,-0.2737,0.1546,-0.2148,-0.666,"Je pense aux animaux mort, je suis triste, tout va mal dans ma vie, personne ne m'aime, je suis en déchil humanité, je suis triste",0.0489,0.0391,,,,
16.0,18.0,donnees_brutes/v1.2/marion/frames_16.0_18.0,donnees_brutes/v1.2/marion/audio_16.0_18.0.wav,-0.0484,0.2906,-0.0232,-0.5141,"Je pense aux animaux mort, je suis triste, tout va mal dans ma vie, personne ne m'aime, je suis en déchil humanité, je suis triste",0.0489,0.0391,,,,
18.0,20.0,donnees_brutes/v1.2/marion/frames_18.0_20.0,donnees_brutes/v1.2/marion/audio_18.0_20.0.wav,0.0355,0.3846,-0.4193,-0.405,"Je pense aux animaux mort, je suis triste, tout va mal dans ma vie, personne ne m'aime, je suis en déchil humanité, je suis triste",0.0489,0.0391,,,,
20.0,22.0,donnees_brutes/v1.2/marion/frames_20.0_22.0,donnees_brutes/v1.2/marion/audio_20.0_22.0.wav,-0.0384,0.2784,-0.3162,-0.5451,"Je pense aux animaux mort, je suis triste, tout va mal dans ma vie, personne ne m'aime, je suis en déchil humanité, je suis triste",0.0489,0.0391,,,,
22.0,24.0,donnees_brutes/v1.2/marion/frames_22.0_24.0,donnees_brutes/v1.2/marion/audio_22.0_24.0.wav,-0.0366,0.2146,0.0,0.0,[SILENCE],0.0,0.0,,,,
24.0,26.0,donnees_brutes/v1.2/marion/frames_24.0_26.0,donnees_brutes/v1.2/marion/audio_24.0_26.0.wav,0.0489,0.2123,0.0,0.0,[SILENCE],0.0,0.0,,,,
26.0,28.0,donnees_brutes/v1.2/marion/frames_26.0_28.0,donnees_brutes/v1.2/marion/audio_26.0_28.0.wav,0.0535,0.2107,0.0,0.0,[SILENCE],0.0,0.0,,,,
